position,organoid_id,day,prob_full,prob_occluded,importance
5,BA2_96_2_E8_nosplit,15.0,0.4676,0.3928,0.0748
6,BA2_96_2_E8_nosplit,17.0,0.4676,0.446,0.0217
7,BA2_96_2_E8_nosplit,20.5,0.4676,0.4512,0.0164
8,BA2_96_2_E8_nosplit,24.0,0.4676,0.3882,0.0795
9,BA2_96_2_E8_nosplit,28.0,0.4676,0.3032,0.1645
10,BA2_96_2_E8_nosplit,30.0,0.4676,0.2151,0.2525
0,BA2_96_2_F11_nosplit,3.0,0.223,0.2093,0.0137
1,BA2_96_2_F11_nosplit,6.0,0.223,0.2172,0.0058
2,BA2_96_2_F11_nosplit,8.0,0.223,0.2469,0.0239
3,BA2_96_2_F11_nosplit,10.0,0.223,0.2292,0.0061
4,BA2_96_2_F11_nosplit,13.0,0.223,0.2463,0.0232
5,BA2_96_2_F11_nosplit,15.0,0.223,0.2222,0.0009
6,BA2_96_2_F11_nosplit,17.0,0.223,0.1975,0.0255
7,BA2_96_2_F11_nosplit,20.5,0.223,0.2129,0.0101
8,BA2_96_2_F11_nosplit,24.0,0.223,0.2061,0.017
9,BA2_96_2_F11_nosplit,28.0,0.223,0.1149,0.1082
10,BA2_96_2_F11_nosplit,30.0,0.223,0.0995,0.1235
0,BA2_96_2_F12_nosplit,3.0,0.1024,0.0856,0.0167
1,BA2_96_2_F12_nosplit,6.0,0.1024,0.1042,0.0018
2,BA2_96_2_F12_nosplit,8.0,0.1024,0.0954,0.007
3,BA2_96_2_F12_nosplit,10.0,0.1024,0.1139,0.0115
4,BA2_96_2_F12_nosplit,13.0,0.1024,0.0934,0.0089
5,BA2_96_2_F12_nosplit,15.0,0.1024,0.0923,0.01
6,BA2_96_2_F12_nosplit,17.0,0.1024,0.0939,0.0085
7,BA2_96_2_F12_nosplit,20.5,0.1024,0.0988,0.0036
8,BA2_96_2_F12_nosplit,24.0,0.1024,0.0987,0.0037
9,BA2_96_2_F12_nosplit,28.0,0.1024,0.093,0.0094
10,BA2_96_2_F12_nosplit,30.0,0.1024,0.1033,0.0009
0,BA2_96_2_G1_nosplit,3.0,0.3027,0.2668,0.0359
1,BA2_96_2_G1_nosplit,6.0,0.3027,0.2769,0.0258
